"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,540","10.4%","25.3%","56.6%","7.7%","72,221","7.3%","11.7%","29.0%","23.6%","8.6%","13.4%","6.4%","81.0%","19.8%","14,357","81.6%","21.8%","13,974","83.7%","20.2%","27,473","84.3%","21.5%","16,417","72.6%","14.8%"
"McMullen County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","126","21.4%","33.3%","45.2%","0.0%","648","6.8%","14.5%","38.0%","26.9%","3.4%","7.9%","2.6%","78.7%","10.5%","190","89.5%","6.8%","120","92.5%","5.8%","180","52.2%","8.3%","158","85.4%","20.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","98","20.4%","21.4%","58.2%","0.0%","380","3.4%","11.1%","38.7%","31.6%","3.4%","7.4%","4.5%","85.5%","11.8%","136","100.0%","2.9%","62","91.9%","11.3%","85","56.5%","17.6%","97","86.6%","19.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","28","25.0%","75.0%","0.0%","0.0%","268","11.6%","19.4%","36.9%","20.1%","3.4%","8.6%","0.0%","69.0%","8.6%","54","63.0%","16.7%","58","93.1%","0.0%","95","48.4%","0.0%","61","83.6%","23.0%"
"Madison County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,612","34.9%","42.1%","21.9%","1.1%","8,873","9.2%","12.7%","42.5%","19.9%","4.2%","9.1%","2.4%","78.2%","11.5%","2,302","75.5%","5.4%","1,853","74.9%","13.1%","2,853","84.2%","13.5%","1,865","75.4%","14.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,130","38.5%","43.5%","17.6%","0.4%","5,098","11.4%","13.9%","41.8%","19.5%","4.0%","6.2%","3.1%","74.7%","9.3%","1,694","71.1%","0.6%","1,091","69.6%","6.6%","1,492","81.0%","15.5%","821","77.2%","19.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","482","26.3%","39.0%","32.0%","2.7%","3,775","6.2%","10.9%","43.5%","20.5%","4.5%","13.0%","1.4%","82.9%","14.4%","608","87.8%","18.9%","762","82.4%","22.3%","1,361","87.7%","11.3%","1,044","74.0%","10.1%"
"Marion County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","642","6.2%","48.0%","42.1%","3.7%","8,063","7.2%","15.9%","37.1%","23.7%","5.0%","6.3%","4.9%","76.9%","11.2%","948","86.1%","8.0%","1,288","79.2%","10.2%","3,566","79.7%","13.5%","2,261","67.5%","9.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","326","0.0%","69.0%","27.6%","3.4%","3,862","8.8%","14.5%","39.0%","20.8%","4.1%","6.8%","6.0%","76.7%","12.8%","479","92.3%","5.0%","621","72.9%","10.5%","1,749","83.4%","15.8%","1,013","60.1%","12.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","316","12.7%","26.3%","57.0%","4.1%","4,201","5.6%","17.2%","35.4%","26.3%","5.8%","5.8%","3.9%","77.1%","9.7%","469","79.7%","11.1%","667","85.0%","10.0%","1,817","76.1%","11.2%","1,248","73.5%","6.8%"
"Martin County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","503","14.9%","35.0%","45.5%","4.6%","2,852","17.8%","11.3%","33.4%","18.5%","6.5%","9.4%","3.2%","70.9%","12.6%","528","75.4%","20.3%","607","68.9%","15.5%","1,045","77.8%","10.1%","672","58.5%","7.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","344","6.7%","47.1%","39.5%","6.7%","1,342","14.8%","11.0%","35.1%","20.7%","4.1%","12.5%","1.8%","74.2%","14.3%","268","86.6%","27.6%","205","78.0%","21.0%","593","75.5%","9.3%","276","56.5%","7.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","159","32.7%","8.8%","58.5%","0.0%","1,510","20.4%","11.7%","31.9%","16.5%","8.5%","6.6%","4.5%","67.9%","11.1%","260","63.8%","12.7%","402","64.2%","12.7%","452","80.8%","11.3%","396","59.8%","8.1%"
"Mason County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","212","19.3%","21.7%","59.0%","0.0%","2,747","6.4%","13.7%","32.3%","15.8%","2.9%","20.6%","8.3%","79.9%","28.9%","235","78.3%","26.8%","534","81.8%","24.0%","1,014","90.0%","34.7%","964","68.5%","26.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","121","33.9%","38.0%","28.1%","0.0%","1,353","7.9%","12.7%","30.3%","16.3%","3.8%","17.5%","11.5%","79.4%","29.0%","141","92.2%","25.5%","285","73.0%","15.1%","475","89.1%","36.0%","452","69.2%","31.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","91","0.0%","0.0%","100.0%","0.0%","1,394","5.0%","14.6%","34.1%","15.3%","2.2%","23.6%","5.2%","80.3%","28.8%","94","57.4%","28.7%","249","92.0%","34.1%","539","90.9%","33.6%","512","67.8%","21.1%"
"Matagorda County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,302","40.9%","31.4%","24.0%","3.8%","23,533","11.4%","12.0%","34.8%","20.3%","7.5%","10.9%","3.2%","76.6%","14.1%","3,867","76.3%","9.1%","4,553","80.6%","9.8%","10,004","78.7%","18.1%","5,109","69.2%","14.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,698","38.2%","39.3%","20.4%","2.2%","11,450","11.9%","12.5%","34.0%","18.9%","8.5%","11.7%","2.6%","75.7%","14.3%","1,906","72.7%","9.0%","2,129","78.6%","9.8%","5,153","76.7%","17.4%","2,262","73.1%","16.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,604","43.7%","23.1%","27.7%","5.5%","12,083","11.0%","11.5%","35.5%","21.6%","6.5%","10.2%","3.8%","77.5%","13.9%","1,961","79.8%","9.2%","2,424","82.3%","9.8%","4,851","80.9%","18.8%","2,847","66.1%","12.4%"
"Maverick County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,327","30.6%","26.6%","37.7%","5.0%","29,215","29.5%","15.3%","22.3%","14.5%","4.7%","9.5%","4.2%","55.2%","13.7%","6,394","74.2%","18.4%","6,636","70.2%","14.3%","10,634","49.9%","13.8%","5,551","25.6%","7.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,802","37.3%","24.7%","34.8%","3.2%","13,545","26.1%","16.3%","20.9%","16.3%","4.4%","11.2%","4.8%","57.6%","16.0%","3,071","75.0%","19.1%","3,055","68.9%","15.0%","4,953","55.0%","17.6%","2,466","27.0%","9.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,525","23.2%","28.8%","41.0%","6.9%","15,670","32.3%","14.5%","23.5%","13.0%","4.9%","8.0%","3.7%","53.2%","11.7%","3,323","73.5%","17.8%","3,581","71.3%","13.8%","5,681","45.4%","10.5%","3,085","24.5%","5.1%"
"Medina County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,211","25.0%","32.8%","39.0%","3.3%","28,979","11.3%","10.3%","29.0%","23.1%","7.0%","12.9%","6.3%","78.3%","19.3%","5,090","81.7%","14.6%","5,802","78.7%","21.1%","12,272","81.9%","21.0%","5,815","67.5%","17.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,545","26.2%","39.7%","31.2%","3.0%","14,399","11.5%","11.2%","29.5%","21.1%","8.3%","12.2%","6.1%","77.2%","18.3%","2,705","79.1%","8.7%","2,897","73.8%","17.2%","6,118","80.9%","20.6%","2,679","70.7%","23.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,666","23.1%","22.2%","50.9%","3.8%","14,580","11.1%","9.5%","28.5%","25.0%","5.7%","13.7%","6.6%","79.4%","20.2%","2,385","84.7%","21.4%","2,905","83.7%","25.0%","6,154","82.9%","21.5%","3,136","64.7%","12.4%"
"Menard County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","190","37.9%","52.6%","9.5%","0.0%","1,646","7.6%","12.3%","38.4%","27.0%","0.8%","10.4%","3.4%","80.1%","13.9%","178","93.8%","10.1%","183","83.6%","9.3%","838","74.1%","11.3%","447","84.3%","21.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","133","38.3%","57.9%","3.8%","0.0%","775","6.1%","13.7%","33.7%","28.3%","1.2%","14.5%","2.7%","80.3%","17.2%","77","85.7%","11.7%","68","95.6%","0.0%","434","76.7%","15.7%","196","80.6%","28.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","57","36.8%","40.4%","22.8%","0.0%","871","9.0%","11.1%","42.6%","25.9%","0.5%","6.9%","4.0%","79.9%","10.9%","101","100.0%","8.9%","115","76.5%","14.8%","404","71.3%","6.7%","251","87.3%","16.7%"
"Midland County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,752","25.6%","29.6%","39.9%","4.9%","81,841","8.2%","10.6%","25.3%","25.4%","6.6%","17.5%","6.3%","81.2%","23.9%","18,076","84.8%","22.8%","16,024","80.5%","21.6%","32,943","82.4%","26.4%","14,798","74.8%","21.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,833","28.1%","29.0%","39.8%","3.1%","39,084","8.1%","10.6%","24.5%","23.9%","6.1%","19.7%","7.0%","81.3%","26.8%","9,132","85.2%","21.9%","7,784","78.9%","23.2%","15,944","82.4%","29.5%","6,224","75.7%","31.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,919","23.2%","30.3%","39.9%","6.6%","42,757","8.4%","10.5%","26.2%","26.7%","7.1%","15.5%","5.7%","81.1%","21.2%","8,944","84.4%","23.6%","8,240","82.1%","20.2%","16,999","82.5%","23.6%","8,574","74.2%","15.0%"
"Milam County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,796","23.8%","44.0%","26.4%","5.7%","16,526","7.7%","10.8%","41.8%","20.7%","5.5%","9.2%","4.3%","81.5%","13.5%","2,606","88.9%","11.6%","2,951","92.1%","9.7%","6,572","85.7%","15.9%","4,397","63.5%","13.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","869","27.3%","50.6%","22.1%","0.0%","8,033","9.6%","9.6%","41.5%","20.6%","5.5%","9.0%","4.2%","80.7%","13.2%","1,268","88.4%","12.4%","1,513","94.8%","3.2%","3,306","84.6%","15.7%","1,946","58.2%","17.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","927","20.6%","37.8%","30.5%","11.1%","8,493","5.9%","12.0%","42.0%","20.8%","5.4%","9.4%","4.5%","82.1%","13.9%","1,338","89.4%","10.8%","1,438","89.3%","16.4%","3,266","86.9%","16.2%","2,451","67.6%","10.9%"
"Mills County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","309","19.7%","60.8%","19.4%","0.0%","3,553","10.3%","12.5%","35.8%","18.7%","4.1%","14.6%","4.1%","77.2%","18.7%","360","68.9%","19.7%","602","76.9%","24.8%","1,478","84.6%","20.4%","1,113","70.3%","12.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","165","15.8%","75.8%","8.5%","0.0%","1,676","11.0%","16.2%","32.2%","16.7%","4.6%","14.6%","4.8%","72.9%","19.4%","129","78.3%","27.1%","294","74.8%","19.4%","731","81.7%","23.8%","522","58.0%","11.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","144","24.3%","43.8%","31.9%","0.0%","1,877","9.7%","9.2%","39.1%","20.4%","3.6%","14.7%","3.4%","81.1%","18.0%","231","63.6%","15.6%","308","78.9%","29.9%","747","87.4%","17.1%","591","81.0%","13.9%"
"Mitchell County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,132","46.6%","34.9%","18.5%","0.0%","6,520","9.2%","17.5%","33.5%","24.9%","5.6%","7.3%","2.1%","73.4%","9.4%","1,755","69.2%","3.8%","1,499","74.7%","11.7%","1,951","83.2%","12.3%","1,315","62.8%","9.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","911","58.0%","31.3%","10.8%","0.0%","3,998","10.9%","19.1%","31.7%","25.5%","6.6%","4.8%","1.4%","70.0%","6.1%","1,323","63.3%","0.7%","1,061","69.3%","6.6%","1,034","79.1%","10.9%","580","70.7%","9.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","221","0.0%","49.8%","50.2%","0.0%","2,522","6.5%","14.9%","36.4%","23.8%","4.0%","11.3%","3.1%","78.7%","14.5%","432","87.5%","13.4%","438","87.9%","24.0%","917","87.8%","13.8%","735","56.6%","10.2%"
"Montague County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,489","19.7%","51.5%","28.5%","0.3%","13,762","5.9%","12.9%","34.9%","23.4%","6.1%","11.8%","4.9%","81.2%","16.7%","1,960","81.9%","13.1%","2,519","82.7%","16.4%","5,370","83.6%","17.1%","3,913","76.7%","18.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","709","22.8%","49.2%","27.9%","0.0%","6,667","7.0%","12.8%","36.3%","20.4%","5.8%","11.6%","6.1%","80.2%","17.7%","1,036","78.2%","7.9%","1,225","80.2%","14.0%","2,640","83.4%","19.8%","1,766","76.4%","22.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","780","16.8%","53.6%","29.0%","0.6%","7,095","4.8%","13.0%","33.7%","26.3%","6.5%","12.0%","3.7%","82.2%","15.8%","924","86.0%","18.9%","1,294","84.9%","18.7%","2,730","83.8%","14.5%","2,147","76.9%","14.2%"
"Montgomery County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","34,503","23.0%","35.9%","34.6%","6.4%","273,731","5.5%","8.6%","25.6%","23.6%","7.0%","20.9%","8.8%","85.9%","29.7%","55,032","83.8%","26.3%","63,406","86.5%","31.8%","112,887","88.3%","32.9%","42,406","81.4%","22.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,889","26.1%","37.8%","31.5%","4.7%","132,944","6.0%","8.7%","24.5%","22.4%","6.1%","22.2%","10.0%","85.2%","32.2%","27,096","80.9%","22.6%","31,343","86.1%","31.4%","55,670","88.1%","37.4%","18,835","81.6%","32.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,614","19.7%","34.0%","38.0%","8.3%","140,787","5.0%","8.5%","26.6%","24.7%","7.9%","19.7%","7.7%","86.5%","27.4%","27,936","86.7%","29.8%","32,063","86.9%","32.2%","57,217","88.4%","28.6%","23,571","81.3%","14.9%"
"Moore County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,010","31.1%","29.7%","38.3%","0.9%","12,244","17.0%","13.5%","30.2%","19.9%","5.6%","9.6%","4.1%","69.5%","13.7%","2,740","65.5%","13.3%","2,903","70.8%","18.1%","4,527","70.1%","12.0%","2,074","71.4%","12.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,074","32.2%","32.8%","34.3%","0.7%","5,919","18.1%","14.5%","31.7%","17.8%","4.6%","8.1%","5.2%","67.3%","13.2%","1,300","55.2%","14.3%","1,470","71.4%","14.1%","2,234","71.8%","12.2%","915","67.4%","12.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","936","29.9%","26.1%","42.8%","1.2%","6,325","15.9%","12.6%","28.8%","21.9%","6.6%","11.1%","3.1%","71.4%","14.2%","1,440","74.9%","12.4%","1,433","70.1%","22.1%","2,293","68.5%","11.7%","1,159","74.5%","11.6%"
"Morris County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,054","18.1%","43.7%","37.9%","0.3%","8,967","5.8%","11.9%","34.5%","22.7%","7.8%","9.5%","7.8%","82.3%","17.3%","1,369","86.8%","23.3%","1,353","88.8%","15.2%","3,706","84.3%","21.5%","2,539","73.7%","9.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","561","25.0%","51.7%","23.4%","0.0%","4,137","5.5%","11.3%","37.2%","23.9%","7.9%","8.3%","5.9%","83.2%","14.2%","633","82.8%","21.5%","596","87.6%","8.9%","1,801","83.3%","16.9%","1,107","80.9%","8.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","493","10.3%","34.7%","54.4%","0.6%","4,830","6.1%","12.3%","32.3%","21.7%","7.7%","10.5%","9.4%","81.6%","19.9%","736","90.2%","24.9%","757","89.7%","20.2%","1,905","85.2%","25.8%","1,432","68.1%","9.5%"
"Motley County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","70","55.7%","37.1%","7.1%","0.0%","784","6.0%","9.3%","37.2%","22.7%","6.3%","10.3%","8.2%","84.7%","18.5%","131","90.8%","14.5%","108","90.7%","0.0%","283","80.6%","28.6%","262","83.6%","17.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","47","83.0%","17.0%","0.0%","0.0%","394","3.8%","6.6%","35.8%","27.7%","8.1%","8.9%","9.1%","89.6%","18.0%","76","89.5%","9.2%","75","100.0%","0.0%","131","83.2%","24.4%","112","90.2%","28.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","23","0.0%","78.3%","21.7%","0.0%","390","8.2%","12.1%","38.7%","17.7%","4.4%","11.8%","7.2%","79.7%","19.0%","55","92.7%","21.8%","33","69.7%","0.0%","152","78.3%","32.2%","150","78.7%","8.7%"
"Nacogdoches County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,812","11.7%","21.7%","62.3%","4.4%","35,551","8.2%","11.3%","30.1%","21.3%","5.1%","15.8%","8.2%","80.5%","24.0%","7,519","81.2%","22.3%","6,800","78.9%","22.7%","13,753","85.0%","26.8%","7,479","73.1%","21.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,678","12.9%","26.7%","57.6%","2.9%","16,895","10.4%","11.8%","30.1%","19.8%","4.5%","14.8%","8.7%","77.8%","23.5%","3,692","76.8%","18.9%","3,374","75.5%","20.2%","6,658","82.7%","26.2%","3,171","71.1%","26.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,134","10.8%","17.7%","66.0%","5.6%","18,656","6.1%","10.8%","30.1%","22.8%","5.7%","16.7%","7.8%","83.0%","24.5%","3,827","85.4%","25.6%","3,426","82.3%","25.1%","7,095","87.2%","27.4%","4,308","74.5%","18.3%"
"Navarro County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,328","17.6%","36.8%","42.4%","3.3%","30,196","9.7%","13.9%","32.3%","21.9%","6.6%","10.3%","5.4%","76.5%","15.7%","5,438","72.1%","13.8%","6,158","74.6%","8.6%","11,930","81.8%","20.9%","6,670","72.3%","14.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,285","15.2%","43.6%","39.9%","1.3%","14,409","10.8%","15.1%","34.2%","20.4%","5.4%","8.9%","5.3%","74.1%","14.2%","2,663","67.6%","11.8%","3,059","71.6%","5.5%","5,819","80.2%","19.4%","2,868","70.3%","15.1%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,043","20.2%","29.1%","45.2%","5.4%","15,787","8.6%","12.8%","30.5%","23.3%","7.8%","11.7%","5.4%","78.6%","17.1%","2,775","76.4%","15.6%","3,099","77.5%","11.6%","6,111","83.3%","22.3%","3,802","73.8%","14.3%"
"Newton County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,148","35.6%","34.5%","27.6%","2.3%","9,887","5.7%","16.5%","46.4%","18.1%","4.7%","6.7%","1.8%","77.7%","8.6%","1,666","87.4%","12.8%","1,800","87.6%","12.1%","4,151","79.2%","6.2%","2,270","60.1%","7.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","658","39.1%","30.9%","30.1%","0.0%","5,050","8.3%","18.4%","43.5%","16.9%","5.3%","6.4%","1.2%","73.3%","7.6%","928","87.6%","15.5%","990","84.1%","9.7%","2,033","72.3%","1.9%","1,099","53.3%","9.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","490","31.0%","39.4%","24.3%","5.3%","4,837","3.1%","14.5%","49.4%","19.4%","4.1%","7.1%","2.4%","82.4%","9.5%","738","87.1%","9.3%","810","91.9%","14.9%","2,118","85.9%","10.3%","1,171","66.4%","4.4%"
"Nolan County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,327","19.7%","38.6%","39.4%","2.3%","9,867","12.2%","10.4%","33.3%","19.1%","8.0%","12.3%","4.8%","77.4%","17.1%","1,605","87.6%","16.8%","1,842","90.4%","22.7%","3,937","73.4%","16.3%","2,483","67.6%","14.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","770","26.1%","43.1%","30.8%","0.0%","4,662","13.5%","10.1%","34.5%","18.3%","7.6%","11.0%","5.1%","76.4%","16.1%","774","89.0%","13.0%","894","91.6%","16.4%","1,882","70.7%","16.4%","1,112","65.2%","17.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","557","11.0%","32.3%","51.3%","5.4%","5,205","11.1%","10.6%","32.1%","19.9%","8.3%","13.4%","4.5%","78.3%","17.9%","831","86.3%","20.3%","948","89.2%","28.7%","2,055","75.8%","16.2%","1,371","69.5%","11.7%"
"Nueces County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","35,099","19.1%","33.7%","42.0%","5.2%","211,489","10.3%","11.4%","27.1%","24.6%","6.7%","12.4%","7.4%","78.2%","19.9%","45,167","83.9%","16.9%","41,920","82.5%","21.7%","85,236","80.2%","21.5%","39,166","62.8%","17.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,578","22.3%","35.5%","37.1%","5.1%","101,549","8.9%","12.0%","27.3%","25.0%","6.4%","12.9%","7.5%","79.1%","20.4%","22,483","81.9%","15.7%","20,554","81.8%","20.2%","41,922","81.3%","22.1%","16,590","66.3%","22.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,521","15.8%","32.0%","46.9%","5.3%","109,940","11.7%","10.9%","26.9%","24.2%","7.0%","12.0%","7.4%","77.5%","19.4%","22,684","85.9%","18.1%","21,366","83.3%","23.3%","43,314","79.2%","20.9%","22,576","60.2%","14.2%"
"Ochiltree County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","966","19.6%","50.1%","23.3%","7.0%","5,864","13.6%","15.6%","34.5%","16.3%","2.0%","13.0%","5.0%","70.7%","17.9%","1,353","66.1%","14.3%","1,254","63.7%","19.5%","2,160","76.7%","18.1%","1,097","72.7%","20.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","474","27.0%","32.9%","32.5%","7.6%","2,933","17.9%","18.7%","33.4%","11.8%","2.0%","11.0%","5.1%","63.4%","16.1%","697","59.5%","9.3%","662","52.0%","17.8%","1,090","71.7%","20.3%","484","65.9%","14.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","492","12.4%","66.7%","14.4%","6.5%","2,931","9.3%","12.6%","35.6%","20.8%","2.0%","15.0%","4.8%","78.1%","19.8%","656","73.2%","19.7%","592","76.9%","21.5%","1,070","81.8%","15.8%","613","78.1%","25.3%"
"Oldham County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","110","7.3%","35.5%","48.2%","9.1%","1,247","8.4%","9.3%","24.9%","23.7%","3.9%","20.7%","9.1%","82.3%","29.8%","238","82.8%","24.4%","237","92.0%","48.1%","511","80.8%","25.8%","261","75.9%","25.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","50","0.0%","64.0%","26.0%","10.0%","562","6.2%","7.8%","34.3%","19.0%","4.3%","22.6%","5.7%","85.9%","28.3%","108","88.9%","13.0%","99","96.0%","43.4%","245","89.8%","26.1%","110","65.5%","34.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","60","13.3%","11.7%","66.7%","8.3%","685","10.2%","10.5%","17.2%","27.4%","3.6%","19.1%","11.8%","79.3%","30.9%","130","77.7%","33.8%","138","89.1%","51.4%","266","72.6%","25.6%","151","83.4%","19.2%"
"Orange County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
