"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher"
"Giles County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,397","17.2%","27.6%","49.9%","5.4%","12,110","7.7%","9.2%","38.4%","19.1%","8.5%","10.3%","6.7%","83.1%","17.0%","1,741","84.3%","13.1%","2,197","90.7%","24.7%","4,931","84.3%","16.8%","3,241","75.4%","14.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","659","15.3%","38.4%","41.4%","4.9%","5,860","8.9%","9.3%","38.9%","17.9%","7.8%","9.3%","7.8%","81.8%","17.2%","916","87.2%","8.1%","1,068","86.1%","18.5%","2,422","81.3%","19.2%","1,454","76.1%","18.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","738","18.8%","17.9%","57.5%","5.8%","6,250","6.6%","9.1%","37.9%","20.3%","9.2%","11.2%","5.6%","84.3%","16.8%","825","81.1%","18.7%","1,129","95.0%","30.6%","2,509","87.3%","14.6%","1,787","74.9%","10.4%"
"Gloucester County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,013","13.6%","45.7%","34.1%","6.6%","26,136","3.2%","6.3%","32.9%","24.0%","10.7%","14.6%","8.3%","90.5%","22.9%","4,134","94.1%","28.2%","4,444","95.6%","21.4%","11,626","91.2%","22.6%","5,932","82.7%","20.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,480","16.4%","49.7%","25.6%","8.2%","12,696","3.5%","7.4%","32.4%","24.4%","10.2%","13.9%","8.2%","89.1%","22.1%","2,072","94.0%","20.4%","2,231","93.3%","20.2%","5,694","89.8%","20.7%","2,699","80.6%","28.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,533","11.0%","41.7%","42.2%","5.1%","13,440","3.0%","5.3%","33.4%","23.6%","11.2%","15.2%","8.4%","91.8%","23.6%","2,062","94.3%","35.9%","2,213","98.0%","22.7%","5,932","92.6%","24.3%","3,233","84.4%","15.1%"
"Goochland County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,208","10.5%","20.4%","55.0%","14.0%","16,160","3.4%","7.0%","27.1%","16.9%","7.3%","23.5%","14.8%","89.6%","38.3%","1,882","85.4%","29.3%","2,861","89.1%","42.4%","7,651","93.2%","41.4%","3,766","84.8%","33.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","586","14.0%","23.9%","43.9%","18.3%","7,925","4.4%","7.8%","27.5%","15.0%","5.0%","24.9%","15.3%","87.7%","40.2%","1,032","83.4%","24.4%","1,356","88.3%","39.5%","3,744","91.5%","41.6%","1,793","81.9%","46.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","622","7.2%","17.2%","65.6%","10.0%","8,235","2.4%","6.2%","26.6%","18.8%","9.5%","22.2%","14.3%","91.4%","36.5%","850","87.8%","35.2%","1,505","89.8%","45.0%","3,907","94.9%","41.2%","1,973","87.4%","21.2%"
"Grayson County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,042","16.3%","31.1%","47.7%","4.9%","11,413","12.0%","10.4%","39.0%","18.4%","9.3%","8.1%","2.7%","77.6%","10.8%","1,450","88.0%","10.1%","1,809","92.8%","13.9%","4,736","80.3%","11.5%","3,418","61.4%","8.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","489","21.1%","35.0%","38.0%","5.9%","5,473","14.3%","11.1%","38.7%","17.7%","7.2%","8.3%","2.7%","74.6%","11.0%","714","87.8%","7.0%","933","92.2%","12.2%","2,316","77.2%","12.7%","1,510","53.6%","9.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","553","12.1%","27.7%","56.2%","4.0%","5,940","10.0%","9.7%","39.3%","19.1%","11.3%","7.9%","2.8%","80.3%","10.7%","736","88.2%","13.0%","876","93.5%","15.8%","2,420","83.2%","10.4%","1,908","67.5%","7.9%"
"Greene County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,282","6.3%","59.4%","34.3%","0.0%","12,878","5.4%","12.0%","32.0%","19.1%","7.0%","16.7%","7.8%","82.6%","24.5%","2,504","71.5%","22.7%","2,432","89.7%","32.4%","5,243","86.0%","23.8%","2,699","79.8%","20.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","605","3.8%","72.2%","24.0%","0.0%","6,323","7.7%","14.3%","30.7%","19.8%","4.2%","16.1%","7.1%","78.0%","23.2%","1,352","59.0%","13.4%","1,248","87.2%","30.2%","2,502","83.3%","21.3%","1,221","78.7%","31.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","677","8.6%","47.9%","43.6%","0.0%","6,555","3.1%","9.8%","33.1%","18.5%","9.8%","17.2%","8.5%","87.0%","25.7%","1,152","86.1%","33.6%","1,184","92.3%","34.6%","2,741","88.5%","26.1%","1,478","80.8%","11.6%"
"Greensville County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,067","15.2%","43.5%","39.6%","1.8%","8,817","8.2%","15.9%","44.5%","18.9%","4.1%","5.2%","3.3%","75.9%","8.5%","1,601","70.3%","3.2%","2,021","87.6%","5.5%","3,534","79.7%","12.4%","1,661","59.0%","9.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","787","16.4%","43.3%","37.9%","2.4%","5,509","9.2%","18.2%","44.8%","17.5%","3.4%","3.5%","3.4%","72.5%","6.9%","1,091","60.7%","1.7%","1,494","85.8%","4.2%","2,202","73.7%","9.1%","722","59.4%","13.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","280","11.8%","43.9%","44.3%","0.0%","3,308","6.5%","12.0%","43.9%","21.2%","5.3%","8.0%","3.2%","81.6%","11.2%","510","91.0%","6.3%","527","92.6%","9.1%","1,332","89.7%","17.9%","939","58.7%","5.6%"
"Halifax County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,615","14.9%","36.3%","41.5%","7.3%","25,414","8.2%","12.7%","36.6%","20.3%","7.6%","9.4%","5.2%","79.1%","14.6%","3,424","88.8%","21.4%","4,123","86.2%","16.3%","10,510","82.6%","15.1%","7,357","65.8%","9.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,310","21.2%","36.7%","34.9%","7.2%","11,807","10.0%","14.4%","37.3%","19.7%","6.4%","8.4%","3.8%","75.6%","12.2%","1,650","84.2%","11.8%","2,030","81.8%","10.7%","5,122","80.3%","13.8%","3,005","58.7%","10.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,305","8.5%","35.9%","48.1%","7.4%","13,607","6.7%","11.1%","36.1%","20.8%","8.6%","10.3%","6.4%","82.2%","16.7%","1,774","93.1%","30.3%","2,093","90.5%","21.8%","5,388","84.7%","16.2%","4,352","70.6%","9.4%"
"Hanover County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,804","13.6%","30.4%","46.6%","9.4%","67,945","2.3%","5.2%","27.8%","20.8%","7.4%","23.7%","12.7%","92.4%","36.3%","9,252","95.5%","41.4%","13,285","94.8%","48.2%","30,967","94.6%","36.9%","14,441","83.6%","21.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,595","14.6%","38.0%","40.8%","6.6%","32,362","2.9%","5.7%","28.9%","20.5%","6.2%","23.7%","12.0%","91.4%","35.7%","4,635","93.6%","34.0%","6,375","92.9%","45.0%","14,999","93.2%","36.5%","6,353","83.9%","25.8%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,209","12.5%","22.1%","52.9%","12.5%","35,583","1.8%","4.8%","26.8%","21.1%","8.6%","23.7%","13.3%","93.4%","36.9%","4,617","97.4%","48.9%","6,910","96.5%","51.1%","15,968","95.9%","37.2%","8,088","83.3%","17.4%"
"Henrico County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","25,974","14.0%","33.0%","37.9%","15.2%","214,132","4.0%","6.1%","23.0%","20.6%","6.6%","24.8%","14.9%","89.9%","39.7%","45,291","90.8%","40.9%","43,521","93.2%","48.3%","84,344","91.1%","40.0%","40,976","82.9%","28.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,837","15.5%","37.7%","35.8%","11.0%","97,341","4.3%","6.1%","23.7%","18.9%","5.7%","25.0%","16.2%","89.7%","41.2%","21,512","90.6%","38.6%","20,834","91.7%","47.0%","38,761","91.3%","41.5%","16,234","82.0%","36.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,137","12.4%","28.4%","39.9%","19.3%","116,791","3.8%","6.1%","22.4%","22.0%","7.3%","24.6%","13.7%","90.1%","38.4%","23,779","90.9%","43.0%","22,687","94.6%","49.4%","45,583","91.0%","38.7%","24,742","83.4%","23.1%"
"Henry County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,929","14.3%","38.7%","41.1%","5.9%","38,348","8.3%","13.9%","34.0%","21.8%","10.6%","7.7%","3.8%","77.8%","11.5%","5,220","88.0%","8.5%","6,256","84.7%","12.7%","15,922","80.0%","14.3%","10,950","65.8%","8.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,023","14.3%","44.6%","36.8%","4.2%","17,989","9.3%","15.9%","34.9%","20.0%","8.0%","7.5%","4.3%","74.8%","11.8%","2,535","85.3%","6.3%","3,076","81.3%","10.1%","7,672","76.7%","15.5%","4,706","61.6%","9.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,906","14.2%","32.5%","45.6%","7.7%","20,359","7.4%","12.1%","33.1%","23.3%","12.9%","7.8%","3.4%","80.5%","11.2%","2,685","90.6%","10.5%","3,180","88.0%","15.2%","8,250","83.1%","13.2%","6,244","69.0%","6.9%"
"Highland County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","133","15.0%","39.1%","31.6%","14.3%","1,806","8.7%","11.0%","41.5%","15.4%","3.9%","12.8%","6.6%","80.3%","19.4%","126","98.4%","12.7%","141","90.1%","9.2%","789","77.7%","21.3%","750","78.3%","20.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","39","33.3%","51.3%","15.4%","0.0%","912","14.4%","12.0%","40.2%","12.9%","4.2%","11.3%","5.0%","73.7%","16.3%","63","96.8%","14.3%","90","92.2%","0.0%","422","69.2%","20.9%","337","70.0%","15.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","94","7.4%","34.0%","38.3%","20.2%","894","2.9%","10.0%","42.8%","18.0%","3.7%","14.3%","8.3%","87.1%","22.6%","63","100.0%","11.1%","51","86.3%","25.5%","367","87.5%","21.8%","413","85.0%","24.7%"
"Isle of Wight County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,640","17.8%","36.1%","38.6%","7.5%","25,178","5.1%","8.6%","28.3%","23.3%","8.5%","16.8%","9.3%","86.3%","26.1%","3,361","93.8%","27.6%","4,282","90.5%","29.7%","11,833","87.1%","27.2%","5,702","77.1%","20.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,440","19.9%","41.0%","33.9%","5.2%","11,990","4.8%","10.3%","27.5%","21.4%","9.3%","17.4%","9.5%","85.0%","26.9%","1,655","93.5%","26.3%","2,012","87.0%","22.7%","5,799","86.2%","28.3%","2,524","74.9%","27.4%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,200","15.3%","30.2%","44.2%","10.3%","13,188","5.4%","7.1%","29.1%","25.1%","7.8%","16.2%","9.2%","87.5%","25.4%","1,706","94.0%","28.8%","2,270","93.6%","35.8%","6,034","88.0%","26.1%","3,178","78.8%","14.9%"
"James City County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,987","15.8%","32.9%","38.2%","13.1%","50,110","2.2%","4.2%","22.3%","18.3%","6.9%","25.7%","20.4%","93.6%","46.1%","7,303","91.1%","37.1%","7,721","94.0%","49.2%","19,864","94.5%","44.3%","15,222","93.4%","51.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,666","16.6%","40.8%","32.5%","10.1%","23,741","2.1%","4.5%","21.8%","17.0%","5.4%","26.0%","23.4%","93.5%","49.4%","3,538","87.3%","32.7%","3,724","93.1%","45.1%","9,474","94.0%","44.8%","7,005","96.0%","66.2%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,321","14.8%","23.8%","44.8%","16.6%","26,369","2.4%","4.0%","22.8%","19.5%","8.2%","25.4%","17.7%","93.7%","43.2%","3,765","94.6%","41.2%","3,997","94.8%","53.0%","10,390","94.9%","43.9%","8,217","91.1%","38.3%"
"King and Queen County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","389","10.3%","51.7%","38.0%","0.0%","5,312","6.9%","8.7%","42.0%","21.3%","4.4%","11.4%","5.4%","84.4%","16.8%","774","92.4%","26.9%","947","81.6%","6.8%","2,238","89.4%","11.6%","1,353","73.5%","26.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","232","10.3%","53.4%","36.2%","0.0%","2,599","6.0%","9.6%","45.6%","19.2%","5.3%","8.0%","6.4%","84.5%","14.4%","377","92.6%","28.4%","533","80.5%","0.9%","1,083","86.0%","9.7%","606","80.2%","25.9%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","157","10.2%","49.0%","40.8%","0.0%","2,713","7.9%","7.8%","38.5%","23.3%","3.5%","14.7%","4.3%","84.4%","19.1%","397","92.2%","25.4%","414","83.1%","14.3%","1,155","92.6%","13.4%","747","68.1%","27.0%"
"King George County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,110","10.5%","42.8%","34.4%","12.3%","15,879","1.8%","5.8%","29.4%","23.1%","8.1%","18.7%","13.1%","92.4%","31.8%","2,858","97.3%","23.4%","3,509","96.2%","37.0%","6,857","91.9%","33.9%","2,655","83.2%","28.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,080","3.6%","53.0%","26.4%","17.0%","7,979","2.3%","6.1%","29.4%","22.1%","7.6%","17.4%","15.1%","91.7%","32.5%","1,535","96.2%","16.8%","1,681","96.9%","36.9%","3,526","90.7%","36.0%","1,237","81.6%","36.0%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,030","17.7%","32.1%","42.8%","7.4%","7,900","1.3%","5.6%","29.4%","24.0%","8.6%","19.9%","11.1%","93.1%","31.1%","1,323","98.6%","31.1%","1,828","95.6%","37.0%","3,331","93.2%","31.6%","1,418","84.6%","21.9%"
"King William County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,090","7.2%","27.4%","56.1%","9.2%","11,083","4.5%","6.4%","41.1%","23.1%","6.0%","12.0%","7.0%","89.2%","19.1%","2,021","98.3%","22.8%","2,128","93.8%","16.6%","4,803","89.2%","19.0%","2,131","75.9%","18.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","522","9.0%","42.1%","40.4%","8.4%","5,343","5.2%","7.6%","44.4%","21.7%","5.6%","8.9%","6.5%","87.2%","15.4%","1,007","97.5%","15.6%","1,030","94.0%","9.0%","2,330","83.4%","15.6%","976","78.4%","21.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","568","5.6%","13.9%","70.6%","9.9%","5,740","3.8%","5.2%","38.0%","24.3%","6.3%","15.0%","7.5%","91.0%","22.5%","1,014","99.1%","30.0%","1,098","93.5%","23.8%","2,473","94.7%","22.3%","1,155","73.9%","15.0%"
"Lancaster County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","633","11.5%","54.7%","22.6%","11.2%","8,858","4.4%","7.7%","31.2%","20.2%","7.9%","16.2%","12.4%","88.0%","28.7%","799","91.0%","11.1%","966","88.2%","25.2%","3,400","92.1%","27.6%","3,693","83.4%","34.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","272","21.7%","48.5%","25.7%","4.0%","4,054","5.2%","9.7%","28.3%","17.7%","5.2%","17.3%","16.6%","85.1%","33.8%","441","87.5%","4.8%","425","80.9%","26.8%","1,565","86.6%","29.6%","1,623","84.1%","47.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","361","3.9%","59.3%","20.2%","16.6%","4,804","3.7%","6.0%","33.6%","22.3%","10.2%","15.4%","8.9%","90.3%","24.3%","358","95.3%","19.0%","541","93.9%","23.8%","1,835","96.7%","25.8%","2,070","82.9%","23.9%"
"Lee County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,916","20.4%","28.1%","45.5%","6.1%","18,570","14.1%","12.8%","32.5%","24.0%","5.5%","7.3%","3.9%","73.1%","11.1%","3,090","83.2%","10.6%","3,604","81.1%","9.5%","7,461","73.3%","13.2%","4,415","59.1%","9.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,064","16.8%","35.0%","46.4%","1.8%","9,721","16.4%","11.9%","36.0%","21.2%","4.7%","6.7%","3.0%","71.8%","9.8%","1,821","88.6%","6.9%","2,082","81.1%","8.0%","3,814","64.9%","10.6%","2,004","59.7%","12.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","852","24.8%","19.6%","44.2%","11.4%","8,849","11.6%","13.8%","28.7%","27.0%","6.3%","7.8%","4.8%","74.6%","12.6%","1,269","75.5%","15.8%","1,522","81.1%","11.6%","3,647","82.0%","15.9%","2,411","58.6%","6.6%"
"Loudoun County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,990","17.2%","25.4%","39.8%","17.5%","215,348","3.6%","2.9%","13.8%","15.6%","6.1%","35.0%","23.0%","93.5%","58.0%","45,190","93.1%","57.5%","61,487","94.9%","67.3%","84,028","94.4%","56.6%","24,643","87.6%","40.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,429","20.1%","28.6%","37.1%","14.2%","104,671","3.5%","2.9%","13.4%","14.8%","5.0%","34.9%","25.5%","93.6%","60.4%","21,534","91.9%","51.5%","30,405","94.8%","67.2%","41,939","94.8%","61.5%","10,793","89.2%","54.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,561","14.1%","22.1%","42.8%","21.0%","110,677","3.8%","2.8%","14.3%","16.3%","7.1%","35.0%","20.7%","93.4%","55.7%","23,656","94.2%","62.9%","31,082","95.0%","67.4%","42,089","94.0%","51.6%","13,850","86.3%","29.5%"
"Louisa County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,407","10.8%","50.6%","35.0%","3.7%","24,165","6.1%","11.2%","38.9%","18.5%","6.2%","12.3%","6.8%","82.7%","19.2%","3,876","94.9%","20.8%","4,061","85.8%","23.2%","10,827","79.6%","16.4%","5,401","77.7%","20.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,226","10.7%","60.1%","26.2%","3.0%","11,761","6.6%","14.2%","37.5%","17.6%","5.6%","12.6%","5.9%","79.3%","18.5%","1,846","92.9%","18.9%","2,056","76.9%","19.1%","5,277","74.7%","14.3%","2,582","80.6%","26.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,181","10.8%","40.7%","44.1%","4.3%","12,404","5.7%","8.4%","40.1%","19.3%","6.8%","12.0%","7.7%","85.9%","19.8%","2,030","96.7%","22.6%","2,005","95.0%","27.4%","5,550","84.3%","18.4%","2,819","75.0%","15.0%"
"Lunenburg County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,048","25.3%","32.0%","35.5%","7.3%","9,221","10.0%","17.2%","34.9%","19.2%","6.3%","8.4%","4.0%","72.8%","12.5%","1,369","74.4%","8.7%","1,612","76.6%","14.6%","3,912","74.8%","13.5%","2,328","65.8%","11.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","576","37.5%","34.9%","26.4%","1.2%","4,897","12.9%","20.5%","33.7%","17.3%","6.5%","6.8%","2.2%","66.6%","9.1%","821","69.1%","5.7%","978","71.3%","7.6%","2,069","66.6%","9.5%","1,029","60.3%","12.3%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","472","10.4%","28.4%","46.6%","14.6%","4,324","6.8%","13.5%","36.3%","21.2%","6.0%","10.3%","6.0%","79.8%","16.3%","548","82.3%","13.1%","634","84.7%","25.4%","1,843","84.2%","17.9%","1,299","70.1%","10.9%"
"Madison County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,015","16.9%","36.8%","30.7%","15.5%","9,347","5.9%","13.0%","34.8%","17.9%","5.2%","14.3%","8.8%","81.1%","23.1%","1,302","91.8%","25.7%","1,420","90.4%","25.0%","4,022","81.8%","24.1%","2,603","69.6%","19.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","522","22.4%","36.8%","31.8%","9.0%","4,503","4.9%","13.5%","39.1%","14.9%","5.7%","13.5%","8.4%","81.6%","22.0%","702","92.2%","17.9%","663","81.7%","12.2%","1,930","83.1%","23.8%","1,208","73.2%","26.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","493","11.2%","36.9%","29.6%","22.3%","4,844","6.8%","12.7%","30.9%","20.8%","4.8%","15.0%","9.2%","80.6%","24.2%","600","91.3%","34.7%","757","97.9%","36.2%","2,092","80.6%","24.4%","1,395","66.5%","12.8%"
"Mathews County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","472","4.2%","34.7%","43.9%","17.2%","6,873","1.5%","8.2%","33.8%","21.3%","6.2%","15.5%","13.5%","90.3%","29.0%","706","89.1%","11.5%","955","84.6%","42.6%","2,767","94.5%","23.3%","2,445","88.1%","35.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","264","7.6%","31.8%","45.1%","15.5%","3,272","2.6%","9.1%","35.5%","21.4%","5.2%","13.3%","12.9%","88.3%","26.2%","298","90.6%","3.4%","540","80.4%","29.6%","1,252","92.8%","16.6%","1,182","86.5%","40.5%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","208","0.0%","38.5%","42.3%","19.2%","3,601","0.6%","7.3%","32.3%","21.2%","7.1%","17.5%","13.9%","92.1%","31.5%","408","88.0%","17.4%","415","90.1%","59.5%","1,515","95.9%","28.8%","1,263","89.5%","29.9%"
"Mecklenburg County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,357","20.9%","39.5%","35.9%","3.7%","23,377","8.2%","13.4%","33.9%","22.1%","7.2%","8.9%","6.3%","78.4%","15.2%","3,136","82.6%","18.6%","3,545","85.2%","14.6%","9,664","80.4%","16.2%","7,032","70.3%","12.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,294","28.9%","45.5%","22.0%","3.6%","11,123","9.8%","14.4%","36.2%","21.2%","5.6%","7.1%","5.7%","75.8%","12.8%","1,684","77.9%","13.4%","1,754","80.8%","7.8%","4,665","75.6%","13.3%","3,020","72.0%","14.7%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,063","11.2%","32.1%","52.9%","3.9%","12,254","6.8%","12.5%","31.8%","23.0%","8.6%","10.5%","6.8%","80.7%","17.3%","1,452","88.0%","24.5%","1,791","89.4%","21.2%","4,999","84.9%","18.8%","4,012","69.1%","11.0%"
"Middlesex County, Virginia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","765","9.3%","30.3%","58.4%","2.0%","8,318","2.4%","8.1%","29.7%","25.4%","6.1%","18.2%","10.1%","89.6%","28.3%","868","92.4%","20.5%","1,037","92.7%","20.3%","3,469","93.6%","30.4%","2,944","82.8%","31.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","430","10.0%","36.7%","52.8%","0.5%","4,064","3.3%","9.4%","26.8%","28.4%","4.6%","16.6%","10.9%","87.3%","27.5%","453","89.4%","13.9%","580","88.3%","6.0%","1,630","91.0%","29.3%","1,401","81.9%","38.6%"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","",""
